year;title;author_lastname;author_firstname;gender;pub_year;pub_year_clean;fantasy;epoch;BW;BY;BE;BB;HB;HH;HE;MV;NI;NW;RP;SL;SN;ST;SH;TH
2016;Berlin Alexanderplatz;Döblin;Alfred;m;1929;1929;0;Weimarer Republik;;;;;1;;;;;;;;;;;
2020;Berlin Alexanderplatz;Döblin;Alfred;m;1929;1929;0;Weimarer Republik;;;;;;;;;1;;;;;;;
2022;Blüthenstaub;Hardenberg;Friedrich;m;1798;1798;0;Frühromantik;;;;;;;;;1;;;;;;;
2021;Brief an den Prinzen friedrich Christian II;Schiller;Friedrich;m;1795;1795;0;Weimarer Klassik;;;;;;;;;1;;;;;;;
2006;Brief des Lord Chandos;Hofmannsthal;Hugo;m;1902;1902;0;Moderne;;;;;;;;;1;;;;;;;
2007;Brief des Lord Chandos;Hofmannsthal;Hugo;m;1902;1902;0;Moderne;;;;;;;;;1;;;;;;;
2013;Brief des Lord Chandos;Hofmannsthal;Hugo;m;1902;1902;0;Moderne;;;;;;;1;;;1;;;;;;
2014;Brief des Lord Chandos;Hofmannsthal;Hugo;m;1902;1902;0;Moderne;;;;;;;1;;;1;;;;;;
2015;Brief des Lord Chandos;Hofmannsthal;Hugo;m;1902;1902;0;Moderne;;;;;;;;;;1;;;;;;
2016;Brief des Lord Chandos;Hofmannsthal;Hugo;m;1902;1902;0;Moderne;;;;;;;;;;1;;;;;;
2023;Bruder Hitler;Mann;Thomas;m;1939;1939;0;Moderne;;;;;;;;;1;;;;;;;
2007;Buddenbrooks;Mann;Thomas;m;1901;1901;0;Moderne;;;;;;;1;;;;;;;;;
2008;Buddenbrooks;Mann;Thomas;m;1901;1901;0;Moderne;;;;;;1;1;;;;;;;;;
2009;Buddenbrooks;Mann;Thomas;m;1901;1901;0;Moderne;;;;;;;1;;;;;;;;;
2010;Buddenbrooks;Mann;Thomas;m;1901;1901;0;Moderne;;;;;;;1;;;;;;;;;
2013;Buddenbrooks;Mann;Thomas;m;1901;1901;0;Moderne;;;;;;;;;;1;;;;;;
2014;Buddenbrooks;Mann;Thomas;m;1901;1901;0;Moderne;;;;;;;;;;1;;;;;;
2013;Corpus Delicti;Zeh;Juli;f;2009;2009;0;Gegenwartsliteratur;;;;;;;;;;;;;1;;;
2014;Corpus Delicti;Zeh;Juli;f;2009;2009;0;Gegenwartsliteratur;;;;;;;;;;;;;1;;;
2015;Corpus Delicti;Zeh;Juli;f;2009;2009;0;Gegenwartsliteratur;;;;;;;;;;;;;1;;;
2016;Corpus Delicti;Zeh;Juli;f;2009;2009;0;Gegenwartsliteratur;;;;;;;;;;;;;1;;;
2017;Corpus Delicti;Zeh;Juli;f;2009;2009;0;Gegenwartsliteratur;;;;;;;;;;;;;1;;;
2018;Corpus Delicti;Zeh;Juli;f;2009;2009;0;Gegenwartsliteratur;;;;;;;;;;;;;1;;;
2019;Corpus Delicti;Zeh;Juli;f;2009;2009;0;Gegenwartsliteratur;;;;;;;1;;;;;;1;;;
2020;Corpus Delicti;Zeh;Juli;f;2009;2009;0;Gegenwartsliteratur;;;;;1;;1;;;;;;1;;;
2021;Corpus Delicti;Zeh;Juli;f;2009;2009;0;Gegenwartsliteratur;;;;;1;;1;;;;;;1;;;
2022;Corpus Delicti;Zeh;Juli;f;2009;2009;0;Gegenwartsliteratur;;;;;1;;1;;;;;1;1;;;
2023;Corpus Delicti;Zeh;Juli;f;2009;2009;0;Gegenwartsliteratur;1;;1;1;;;1;;;;;;1;;;
2023;Corpus Delicti;Zeh;Juli;f;2009;2009;0;Gegenwartsliteratur;;;;;;;;;;;;1;;;;
2024;Corpus Delicti;Zeh;Juli;f;2009;2009;0;Gegenwartsliteratur;1;;1;1;;;1;;;;;;1;;;
2025;Corpus Delicti;Zeh;Juli;f;2009;2009;0;Gegenwartsliteratur;1;;1;1;;;;;;;;;;;;
2026;Corpus Delicti;Zeh;Juli;f;2009;2009;0;Gegenwartsliteratur;1;;;;;;;;;;;1;;;;
2008;Dantons Tod;Büchner;Georg;m;1835;1835;0;Vormärz;;;;;;1;;;;;;;;;;
2009;Dantons Tod;Büchner;Georg;m;1835;1835;0;Vormärz;;;;;1;;;;;;;;;;;
2010;Dantons Tod;Büchner;Georg;m;1835;1835;0;Vormärz;;;;;1;;;;;;;;;;;
2017;Dantons Tod;Büchner;Georg;m;1835;1835;0;Vormärz;1;;;;;;;;1;;;;;;;
2018;Dantons Tod;Büchner;Georg;m;1835;1835;0;Vormärz;1;;;;;;;;;;;;;;;
2011;Das Erdbeben in Chili;Kleist;Heinrich;m;1807;1807;0;Weimarer Klassik, Romantik;;;;;;;;;1;;;;;;;
2008;Das Feuer;Barbusse;Henri;m;1916;1916;0;Kriegsliteratur;;;;;1;;;;;;;;;;;
2009;Das Feuer;Barbusse;Henri;m;1916;1916;0;Kriegsliteratur;;;;;1;;;;;;;;;;;
2006;Das Göttliche;Goethe;Johann Wolfgang;m;1785;1785;0;Weimarer Klassik;;;;;;;;;1;;;;;;;
2023;Das Göttliche;Goethe;Johann Wolfgang;m;1785;1785;0;Weimarer Klassik;;;;;;;;;;;;;;;1;
2024;Das Göttliche;Goethe;Johann Wolfgang;m;1785;1785;0;Weimarer Klassik;;;;;;;;;;;;;;;1;
2025;Das Göttliche;Goethe;Johann Wolfgang;m;1785;1785;0;Weimarer Klassik;;;;;;;;;;;;;;;1;
2026;Das Göttliche;Goethe;Johann Wolfgang;m;1785;1785;0;Weimarer Klassik;;;;;;;;;;;;;;;1;
2019;Das Haus in der Dorotheenstraße;Lange;Hartmut;m;2013;2013;0;Gegenwartsliteratur;;;;;;;;;;1;;;;;;
2020;Das Haus in der Dorotheenstraße;Lange;Hartmut;m;2013;2013;0;Gegenwartsliteratur;;;;;;;;;;1;;;;;;
2021;Das Haus in der Dorotheenstraße;Lange;Hartmut;m;2013;2013;0;Gegenwartsliteratur;;;;;;;;;;1;;;;;;
2006;Das kunstseidene Mädchen;Keun;Irmgard;f;1932;1931;0;Neue Sachlichkeit;;;;;;;;;1;;;;;;;
2025;Das kunstseidene Mädchen;Keun;Irmgard;f;1931/32;1931;0;Neue Sachlichkeit;;;;;;1;;;;;;;;;;
2026;Das kunstseidene Mädchen;Keun;Irmgard;f;1931/32;1931;0;Neue Sachlichkeit;;;;;;1;;;1;;;;;;;
2007;Das Marmorbild;Eichendorff;Joseph;m;1819;1819;1;Romantik;;;;;;;1;;;;;;;;;
2008;Das Marmorbild;Eichendorff;Joseph;m;1819;1819;1;Romantik;;;;;;;1;;;;;;;;;
2009;Das Marmorbild;Eichendorff;Joseph;m;1819;1819;1;Romantik;;;;;;;;;1;;;;;;;
2021;Das Marmorbild;Eichendorff;Joseph;m;1819;1819;1;Romantik;1;;;;;;;;;;;;;;;
2022;Das Marmorbild;Eichendorff;Joseph;m;1819;1819;1;Romantik;1;;1;1;;;;;;;;;;;;
2023;Das Marmorbild;Eichendorff;Joseph;m;1819;1819;1;Romantik;1;;;;;;;;;;;;;;;
2024;Das Marmorbild;Eichendorff;Joseph;m;1819;1819;1;Romantik;1;;;;;;;;;;;;;;;
2025;Das Marmorbild;Eichendorff;Joseph;m;1819;1819;1;Romantik;1;;;;;;;;;;;;;;;
2010;Das Muschelessen;Vanderbeke;Birgit;f;1990;1990;0;Postmoderne;;;;;;1;;;;;;;;;;
2013;Das Parfum;Süskind;Patrick;m;1985;1985;1;Postmoderne;;;;;;;1;;;;;;;;;
2014;Das Parfum;Süskind;Patrick;m;1985;1985;1;Postmoderne;;;;;;;1;;;;;;;;;
2015;Das Parfum;Süskind;Patrick;m;1985;1985;1;Postmoderne;;;;;;;1;;;;;;;;;
2016;Das Parfum;Süskind;Patrick;m;1985;1985;1;Postmoderne;;;;;;;1;;;;;;;;;
2017;Das Parfum;Süskind;Patrick;m;1985;1985;1;Postmoderne;;;;;;;1;;;;;;;;;
2018;Das Parfum;Süskind;Patrick;m;1985;1985;1;Postmoderne;;;;;;;1;;;;;;;;;
2014;Das Schloss;Kafka;Franz;m;1926;1926;0;Expressionismus;;;;;1;;;;;;;;;;;
2015;Das Schloss;Kafka;Franz;m;1926;1926;0;Expressionismus;;;;;1;;;;;;;;;;;
2016;Das Schloss;Kafka;Franz;m;1926;1926;0;Expressionismus;;;;;1;;;;;;;;;;;
2022;Das Schloss Dürande;Eichendorff;Joseph;m;1837;1837;0;Romantik;;;1;1;;;;;;;;;;;;
2011;Das Urteil;Kafka;Franz;m;1913;1913;0;Expressionismus, Postmoderne;;;;;;;1;;;;;;;;;
2012;Das Urteil;Kafka;Franz;m;1913;1913;0;Expressionismus, Postmoderne;;;;;;;1;;;;;;;;;
