"","title_original","author_lastname","author_firstname","pub_year","language_codes","series_first"
"3257","Michael Kohlhaas","Kleist","Heinrich","[19]49 || [19]49 || [19]49 || [19]49","ger","Einzelausgaben der Berliner Klassiker 1946"
"3258","Hamlet","Shakespeare","William","[19]47 || [19]47 || [19]47 || [19]47","ger || eng","Einzelausgaben der Berliner Klassiker 1946"
"3259","Hamlet","Shakespeare","William","[19]47 || [19]47 || [19]47 || [19]47","ger || eng","Einzelausgaben der Berliner Klassiker 1946"
"3260","Gehen, ging, gegangen","Erpenbeck","Jenny","2021","jpn || ger","Ekusu riburisu"
"3261","Schachnovelle","Zweig","Stefan","2001","spa || ger","El acantilado"
"3262","Schachnovelle","Zweig","Stefan","2000","spa || ger","El acantilado"
"3263","Miss Sara Sampson","Lessing","Gotthold Ephraim","2014","spa || ger","El algebra y la luna"
"3264","Tod in Venedig","Mann","Thomas","1999","spa || ger","El ave Fénix"
"3265","Mario und der Zauberer","Mann","Thomas","1985","spa","El ave Fénix"
"3266","Bekenntnisse des Hochstaplers Felix Krull","Mann","Thomas","1986","ger","El ave Fénix"
"3267","Katz und Maus","Grass","Günter","1993","cat || ger","El balanci"
"3268","Katz und Maus","Grass","Günter","1968","ger","El balanci"
"3269","Im Krebsgang","Grass","Günter","2003","cat || ger","El balanci"
"3270","Der Sandmann","Hoffmann","E.T.A.","2008","spa || ger","El Barquero"
"3271","Das Schloss","Kafka","Franz","[2019]","cat || ger","El club dels novel·listes"
"3272","Das Schloss","Kafka","Franz","2004","spa || ger","El Club Diógenes"
"3273","Die verlorene Ehre der Katharina Blum","Böll","Heinrich","[2019]","spa || ger","El festín de Babette"
"3274","Peter Schlemihls wundersame Geschichte","Chamisso","Adelbert","2002","cat || ger","El grill 3 i 4"
"3275","Das kunstseidene Mädchen","Keun","Irmgard","1965","ger","El Hipocampo"
"3276","Schachnovelle","Zweig","Stefan","febrero de 2022","spa || ger","El jardín de Epicuro"
"3277","Das Muschelessen","Vanderbeke","Birgit","1991","spa || ger","El libro de arena"
"3278","Dantons Tod","Büchner","Georg","[2016]","spa || ger","El libro de bolsillo"
"3279","Die Marquise von O.","Kleist","Heinrich","1969","ger","El libro de bolsillo"
"3280","Das Schloss","Kafka","Franz","1982","ger","El libro de bolsillo"
"3281","Das Schloss","Kafka","Franz","1989","spa || ger","El libro de bolsillo"
"3282","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","2012","spa || ger","El libro de bolsillo"
"3283","Das Urteil","Kafka","Franz","1990","spa || ger","El libro de bolsillo"
"3284","Die Verwandlung","Kafka","Franz","1968","ger","El Libro de bolsillo"
"3285","Die Verwandlung","Kafka","Franz","1969","ger","El libro de bolsillo"
"3286","Die Verwandlung","Kafka","Franz","1991","spa || ger","El libro de bolsillo"
"3287","Der Steppenwolf","Hesse","Hermann","1988","spa || ger","El libro de bolsillo"
"3288","Der Steppenwolf","Hesse","Hermann","1967","ger","El Libro de bolsillo"
"3289","Der Steppenwolf","Hesse","Hermann","1996","spa || ger","El libro de bolsillo"
"3290","Der Steppenwolf","Hesse","Hermann","1998","spa || ger","El libro de bolsillo"
"3291","Der Steppenwolf","Hesse","Hermann","2008","spa || ger","El libro de bolsillo"
"3292","Die Verwandlung","Kafka","Franz","1999","spa || ger","El libro de bolsillo"
"3293","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","2000","spa || ger","El libro de bolsillo"
"3294","Das Urteil","Kafka","Franz","1999","spa || ger","El libro de bolsillo"
"3295","Der Verschollene","Kafka","Franz","1998","spa || ger","El libro de bolsillo"
"3296","Das Schloss","Kafka","Franz","1998","spa || ger","El libro de bolsillo"
"3297","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","1997","spa || ger","El libro de bolsillo"
"3298","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","1982","ger","El libro de bolsillo"
"3299","Das Urteil","Kafka","Franz","2015","spa || ger","El libro de bolsillo"
"3300","Der Steppenwolf","Hesse","Hermann","2006","spa || ger","El libro de bolsillo, 1966 - 2006"
"3301","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","2009","spa || ger","El parnasillo"
"3302","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","1997","ger","Elatus Klassik"
"3303","Der Sandmann","Hoffmann","E.T.A.","1997","ger","Elatus Klassik"
"3304","Das Parfum","Süskind","Patrick","2007","baq || ger","Eleberria"
"3305","Homo faber","Frisch","Max","2001","baq || ger","Elkar"
"3306","Die Dreigroschenoper","Brecht","Bertolt","[2002]","ger","Eloquence"
"3307","Ansichten eines Clowns","Böll","Heinrich","1978","ger","Elseviers literaire serie"
"3308","Ansichten eines Clowns","Böll","Heinrich","1973","ger","Elseviers literaire Serie"
"3309","Die verlorene Ehre der Katharina Blum","Böll","Heinrich","1974","ger","Elseviers literaire serie"
"3310","Der Untertan","Mann","Heinrich","1975","ger","Elseviers literaire serie"
"3311","Professor Unrat","Mann","Heinrich","1975","ger","Elseviers literaire serie"
"3312","Ansichten eines Clowns","Böll","Heinrich","1982","ger","Elseviers literaire serie"
"3313","Das kunstseidene Mädchen","Keun","Irmgard","2001","swe || ger","En bok för alla"
"3314","Im Westen Nichts Neues","Remarque","Erich Maria","1981","ger","En bok för alla"
"3315","Ansichten eines Clowns","Böll","Heinrich","1986","bas || ger","En el lomo"
"3316","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","1994","nor || ger","En klassiker fra Cappelen"
"3317","Professor Unrat","Mann","Heinrich","1994","nor || ger","En klassiker fra Cappelen"
"3318","Das Parfum","Süskind","Patrick","1994","nor || ger","En Maxi-bok fra Aschehoug"
"3319","Der Verschollene","Kafka","Franz","1992","nor || ger","En Pax-bok"
"3320","Der Vorleser","Schlink","Bernhard","1997","gre || ger","En pl? "
"3321","Verbrechen","Schirach","Ferdinand","2011","swe || ger","En tysk novell från Novellix"
"3322","Homo faber","Frisch","Max","1962","ger","Encontro"
"3323","Bekenntnisse des Hochstaplers Felix Krull","Mann","Thomas","1988","ger","Engelhorns Sammlerbibliothek"
"3324","Hamlet","Shakespeare","William","2006","ger || eng || eng","Englisch-deutsche Studienausgabe der Dramen Shakespeares"
"3325","Emilia Galotti","Lessing","Gotthold Ephraim","1891","ger","Englische Übungs-Bibliothek"
"3326","Nathan der Weise","Lessing","Gotthold Ephraim","1895","ger","Englische Übungs-Bibliothek"
"3327","Hamlet","Shakespeare","William","1951 || 1951","ger","Englische Bücherei"
"3328","Die Verwandlung","Kafka","Franz","2018","eng || ger","English classic books"
"3329","Schachnovelle","Zweig","Stefan","2013","bul || ger","Enthusiast vintage"
"3330","In der Strafkolonie","Kafka","Franz","1991","swe || ger","Entimmesboken"
"3331","Der Sandmann","Hoffmann","E.T.A.","1985","ger","Entimmesboken"
"3332","Bekenntnisse des Hochstaplers Felix Krull","Mann","Thomas","2004","gre || ger","Epiloges apo t?n pankosmia logotechnia"
"3333","Buddenbrooks","Mann","Thomas","2004","gre || ger","Epiloges apo t?n pankosmia logotechnia"
"3334","Professor Unrat","Mann","Heinrich","2006","gre || ger","Epiloges apo t?n pankosmia logotechnia"
"3335","Der Besuch der alten Dame","Dürrenmatt","Friedrich","2002","chi || ger","Er shi shi ji wai guo wen xue cong shu : Di 3 ji"
"3336","Deutschland. Ein Wintermärchen","Heine","Heinrich","1982","ger || spa","Erasmo : Textos alemanes"
"3337","Brief des Lord Chandos","Hofmannsthal","Hugo","2002","ger","Erato-Druck"
"3338","Brief des Lord Chandos","Hofmannsthal","Hugo","1975","ger","Erato-Druck[e] "
"3339","Die Jungfrau von Orleans","Schiller","Friedrich","1941","ger","Erbgut deutsches Schrifttums"
"3340","Die Judenbuche","Droste-Hülshoff","Annette","[1926]","ger","Erdgut deutschen Schrifttums"
"3341","Lenz","Büchner","Georg","2004","gre || ger","Erga / Gkeornk Mpichner"
"3342","Hiob","Roth","Joseph","1935","dut || ger","Erica-reeks"
"3343","Hiob","Roth","Joseph","1935","dut || ger","Erica-reeks"
"3344","Iphigenie auf Tauris","Goethe","Johann Wolfgang","1914","ger","Erläuterungen zu Aschendorffs Textausgaben unserer Dichter"
"3345","Maria Stuart","Schiller","Friedrich","1914","ger","Erläuterungen zu Aschendorffs Textausgaben unserer Dichter"
"3346","Emilia Galotti","Lessing","Gotthold Ephraim","1914","ger","Erläuterungen zu Aschendorffs Textausgaben unserer Dichter"
"3347","Das Schloss","Kafka","Franz","[2015]","ice || ger","Erlend klassík"
"3348","Der Verschollene","Kafka","Franz","2021","ice || ger","Erlend klassík"
"3349","Schachnovelle","Zweig","Stefan","[2015]","ger","Erlesenes Lesen"
"3350","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","[2016]","ger","Erlesenes Lesen"
"3351","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","[2020]","ger","Erlesenes Lesen"
"3352","Professor Unrat","Mann","Heinrich","[2021]","ger","Erlesenes Lesen"
"3353","Schachnovelle","Zweig","Stefan","2015","ger","Erlesenes Lesen"
"3354","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","2016","ger","Erlesenes Lesen"
"3355","Irrungen, Wirrungen","Fontane","Theodor","2016","ger","Erlesenes Lesen"
"3356","Irrungen, Wirrungen","Fontane","Theodor","2016","ger","Erlesenes Lesen"
"3357","Der Sandmann","Hoffmann","E.T.A.","2017","ger","Erlesenes Lesen"
"3358","Die Marquise von O.","Kleist","Heinrich","2017","ger","Erlesenes Lesen"
"3359","Die Marquise von O.","Kleist","Heinrich","2017","ger","Erlesenes Lesen"
"3360","Michael Kohlhaas","Kleist","Heinrich","2017","ger","Erlesenes Lesen"
"3361","Michael Kohlhaas","Kleist","Heinrich","2017","ger","Erlesenes Lesen"
"3362","Hiob","Roth","Joseph","2018","ger","Erlesenes Lesen"
"3363","Hiob","Roth","Joseph","2018","ger","Erlesenes Lesen"
"3364","Nathan der Weise","Lessing","Gotthold Ephraim","2019","ger","Erlesenes Lesen"
"3365","Nathan der Weise","Lessing","Gotthold Ephraim","2019","ger","Erlesenes Lesen"
"3366","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","2020","|| ger","Erlesenes Lesen"
"3367","Deutschland. Ein Wintermärchen","Heine","Heinrich","2015","ger","Erlesenes Lesen"
"3368","Das Urteil","Kafka","Franz","2015","ger","Erlesenes Lesen"
"3369","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","2011","ger","Erwachsene ELI Lektüren. A2"
"3370","Der gute Mensch von Sezuan","Brecht","Bertolt","2010 || 2010","glg || ger","Escena aberta"
"3371","Der goldne Topf","Hoffmann","E.T.A.","2001","spa || ger","Espasa juvenil"
"3372","Iphigenie auf Tauris","Goethe","Johann Wolfgang","1929","epo","Esperanto Verkaro de Dr. Zamenhof"
"3373","Herr Lehmann","Regener","Sven","2006","rus || ger","Espresso"
"3374","Buddenbrooks","Mann","Thomas","[2014]","ita || ger","ET Classici"
"3375","Tod in Venedig","Mann","Thomas","[2015]","ita || ger","ET classici"
"3376","Die Dreigroschenoper","Brecht","Bertolt","[2017]","ger || ita || ger","ET classici"
"3377","Tonio Kröger","Mann","Thomas","[2017]","ita || ger || ger","ET Classici"
"3378","Leben des Galilei","Brecht","Bertolt","[2018]","ita || ger || ger","ET classici"
"3379","Die verlorene Ehre der Katharina Blum","Böll","Heinrich","[2015]","ita || ger","Et scrittori"
"3380","Schachnovelle","Zweig","Stefan","[2015]","ita || ger","ET Scrittori"
"3381","Kabale und Liebe","Schiller","Friedrich","[1983 ?]","ger","Eterna"
"3382","Willkommen und Abschied","Goethe","Johann Wolfgang","[ca. 1970]","ger","Eterna"
"3383","Nathan der Weise","Lessing","Gotthold Ephraim","[ca. 1980]","ger","Eterna"
"3384","Schachnovelle","Zweig","Stefan","[2013]","fre || ger","Etonnants classiques"
"3385","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","1923","ger","Eulen-Bücherei : [Reihe 1] "
"3386","Michael Kohlhaas","Kleist","Heinrich","[1924]","ger","Eulen-Bücherei : [Reihe 2] "
"3387","Undine","de la Motte Fouqué","Friedrich","[1924]","ger","Eulen-Bücherei : [Reihe 2] "
"3388","Prinz Friedrich von Homburg","Kleist","Heinrich","1978","ger","Euphorion : [...], Beihefte zum Euphorion"
"3389","Tonio Kröger","Mann","Thomas","2007","ger","Európa diákkönyvtár"
"3390","Tonio Kröger","Mann","Thomas","1992","hun || ger","Európa diákkönyvtár"
"3391","Der Sandmann","Hoffmann","E.T.A.","1993","hun || ger","Európa diákkönyvtár"
"3392","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","1995","hun || ger","Európa diákkönyvtár"
"3393","Tonio Kröger","Mann","Thomas","1995","hun || ger","Európa diákkönyvtár"
"3394","Kabale und Liebe","Schiller","Friedrich","1996","hun || ger","Európa diákkönyvtár"
"3395","Prinz Friedrich von Homburg","Kleist","Heinrich","2003","hun || ger","Európa diákkönyvtár"
"3396","Der Besuch der alten Dame","Dürrenmatt","Friedrich","2004","hun || ger","Európa diákkönyvtár"
"3397","Der Besuch der alten Dame","Dürrenmatt","Friedrich","2007","hun || ger","Európa diákkönyvtár"
"3398","Der Sandmann","Hoffmann","E.T.A.","2011","hun || ger","Európa diákkönyvtár"
"3399","Effi Briest","Fontane","Theodor","1992","hun || ger","Európa klasszikus regények"
"3400","Im Westen Nichts Neues","Remarque","Erich Maria","1972","ger","Európa Zsebkönyvek"
"3401","Die verlorene Ehre der Katharina Blum","Böll","Heinrich","1977","ger","Európa zsebkönyvek"
"3402","Jakob der Lügner","Becker","Jurek","1973","ger","Európa zsebkönyvek"
"3403","Die verlorene Ehre der Katharina Blum","Böll","Heinrich","1976","ger","Európa zsebkönyvek"
"3404","Tonio Kröger","Mann","Thomas","1984","ger","Európa zsebkönyvek"
"3405","Tonio Kröger","Mann","Thomas","1986","ger","Európa zsebkönyvek"
"3406","Homo faber","Frisch","Max","1971","ger","Európa zsebkönyvek"
"3407","Im Westen Nichts Neues","Remarque","Erich Maria","1972","ger","Európa zsebkönyvek"
"3408","Der Steppenwolf","Hesse","Hermann","1952","ger","Euroopa-Sarja"
"3409","Das Feuer","Barbusse","Henri","1930","ger","Europäische Bücher"
"3410","Das Feuer","Barbusse","Henri","1929","ger","Europäische Bücher"
"3411","Das Feuer","Barbusse","Henri","1930","ger","Europäische Bücher"
"3412","Das Feuer","Barbusse","Henri","1918","ger","Europäische Bücher"
"3413","Dantons Tod","Büchner","Georg","1947","ger","Europäische Bibliothek"
"3414","Leonce und Lena","Büchner","Georg","1946 || 1946","ger","Europäische Komödien"
"3415","Leonce und Lena","Büchner","Georg","1948","ger","Europäische Komödien"
"3416","Leonce und Lena","Büchner","Georg","1947","ger","Europäische Komödien"
"3417","Frau Jenny Treibel","Fontane","Theodor","1947","ger","Europäische Stimmen"
"3418","Im Westen Nichts Neues","Remarque","Erich Maria","may?s 2012","tur || ger","Everest"
"3419","Berlin Alexanderplatz","Döblin","Alfred","2013","tur || ger","Everest"
"3420","Transit","Seghers","Anna","ocak 2016","tur || ger","Everest"
"3421","Im Westen Nichts Neues","Remarque","Erich Maria","May?s 2017","tur || ger","Everest"
"3422","Schachnovelle","Zweig","Stefan","temmuz 2018","tur || ger","Everest"
"3423","Der Besuch der alten Dame","Dürrenmatt","Friedrich","1962","ger","Evergreen books"
"3424","Die Physiker","Dürrenmatt","Friedrich","1964","ger","Evergreen books"
"3425","Buddenbrooks","Mann","Thomas","1994","eng || ger","Everyman's library"
"3426","Das Schloss","Kafka","Franz","1992","eng || ger","Everyman's library"
"3427","Das Schloss","Kafka","Franz","1992","eng || ger","Everyman's library"
"3428","Die Blechtrommel","Grass","Günter","1993","eng || ger","Everyman's library"
"3429","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","1999","eng || ger","Everyman's library"
"3430","Im Westen Nichts Neues","Remarque","Erich Maria","2018","eng || ger","Everyman's library"
"3431","Die Jungfrau von Orleans","Schiller","Friedrich","[1944]","ger","Ewige Dichtung"
"3432","Die Räuber","Schiller","Friedrich","[ca. 1950]","ger","Ewige Dichtung"
"3433","Die Jungfrau von Orleans","Schiller","Friedrich","[1939]","ger","Ewige Dichtung"
"3434","Die Räuber","Schiller","Friedrich","[1939]","ger","Ewige Dichtung"
"3435","Kabale und Liebe","Schiller","Friedrich","[1939]","ger","Ewige Dichtung"
"3436","Maria Stuart","Schiller","Friedrich","[1939]","ger","Ewige Dichtung"
"3437","Michael Kohlhaas","Kleist","Heinrich","[1939]","ger","Ewige Dichtung"
"3438","Prinz Friedrich von Homburg","Kleist","Heinrich","[1943]","ger","Ewige Dichtung"
"3439","Iphigenie auf Tauris","Goethe","Johann Wolfgang","[1944]","ger","Ewige Dichtung"
"3440","Michael Kohlhaas","Kleist","Heinrich","[1944]","ger","Ewige Dichtung"
"3441","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","1946","ger","Ewiges Wort"
"3442","Das Feuer","Barbusse","Henri","c 1986","ger","Ex libris Volk und Welt"
"3443","Das Schloss","Kafka","Franz","1987","ger","Ex libris Volk und Welt"
"3444","Buddenbrooks","Mann","Thomas","1960","|| ger","Exempla classica"
"3445","Prinz Friedrich von Homburg","Kleist","Heinrich","1961","|| ger","Exempla classica"
"3446","Woyzeck","Büchner","Georg","1962","|| ger","Exempla classica"
"3447","Mephisto","Mann","Klaus","2013","ger","Exempla Critica"
"3448","Der Zauberlehrling","Goethe","Johann Wolfgang","2013","ger","Exempla nova"
"3449","Transit","Seghers","Anna","1982","ger","Exil bibliotheek"
"3450","Heldenplatz","Bernhard","Thomas","[2016]","spa || ger","Extraterritorial"
"3451","Michael Kohlhaas","Kleist","Heinrich","mayo de 2017","spa || ger","f!988994895! "
"3452","Der Besuch der alten Dame","Dürrenmatt","Friedrich","1999","spa || ger","Fábula"
"3453","Tod in Venedig","Mann","Thomas","1973","ger","Fábula"
"3454","Die Judenbuche","Droste-Hülshoff","Annette","[1921]","ger","Für junge Herzen"
"3455","Das Göttliche","Goethe","Johann Wolfgang","2018","ger","Faksimile"
"3456","Effi Briest","Fontane","Theodor","1969","ger","Faksimiledruck / Schiller-Nationalmuseum Marbach am Neckar"
"3457","Die Horen","Schiller","Friedrich","1982","ger","Faksimiledrucke / Schiller-Nationalmuseum Marbach am Neckar"
"3458","Die Räuber","Schiller","Friedrich","    ","nan","Faksimiledrucke deutscher Literatur"
"3459","Penthesilea","Kleist","Heinrich","    ","nan","Faksimiledrucke deutscher Literatur"
"3460","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","    ","nan","Faksimile-Drucke deutscher Literatur"
"3461","Nathan der Weise","Lessing","Gotthold Ephraim","    ","nan","Faksimile-Editionen deutscher Dichtung"
"3462","Das Parfum","Süskind","Patrick","outuro, 2021","glg || ger","Faktoria narrativa"
"3463","Wünschelrute","Eichendorff","Joseph","[1936]","ger","Falken-Bücherei"
"3464","Nathan der Weise","Lessing","Gotthold Ephraim","1841","ger","Familien-Bibliothek der Deutschen Classiker"
"3465","Michael Kohlhaas","Kleist","Heinrich","2014","por || ger","Fanfarrões, libertinas & outros heróis"
"3466","Peter Schlemihls wundersame Geschichte","Chamisso","Adelbert","1998","por || ger","Fantástica"
"3467","Undine","de la Motte Fouqué","Friedrich","1998","por || ger","Fantástica"
"3468","Die Verwandlung","Kafka","Franz","1987","ger","Fantasticas"
"3469","Frau Jenny Treibel","Fontane","Theodor","[1949]","ger","Faro-Druck"
"3470","Frau Jenny Treibel","Fontane","Theodor","2016","ger","Faro-Druck"
"3471","Das Parfum","Süskind","Patrick","2004 || 2004","lat || ger","Farrago"
"3472","Der Process","Kafka","Franz","[2016]","ger","Faust I, Der Process - Expressionismus, Mehrsprachigkeit"
"3473","Faust I","Goethe","Johann Wolfgang","2016","ger","Faust I, Der Process - Expressionismus, Mehrsprachigkeit"
"3474","Der Process","Kafka","Franz","[2016]","ger","Faust I, Der Process - Expressionismus, Mehrsprachigkeit"
"3475","Faust I","Goethe","Johann Wolfgang","2016","ger","Faust I, Der Process - Expressionismus, Mehrsprachigkeit"
"3476","Die Verwandlung","Kafka","Franz","[2016]","ger","Faust I, Die Verwandlung - Expressionismus, Mehrsprachigkeit"
"3477","Faust I","Goethe","Johann Wolfgang","2016","ger","Faust I, Die Verwandlung - Expressionismus, Mehrsprachigkeit"
"3478","Die Verwandlung","Kafka","Franz","[2016]","ger","Faust I, Die Verwandlung - Expressionismus, Mehrsprachigkeit"
"3479","Faust I","Goethe","Johann Wolfgang","[2016]","ger","Faust I, Die Verwandlung - Expressionismus, Mehrsprachigkeit"
"3480","Der Sandmann","Hoffmann","E.T.A.","© 2015 || [2017]","ger","Faust I/Die Marquise von O.../Der Sandmann/Das Haus in der Dorotheenstraße - Expressionismus/Mehrsprachigkeit"
"3481","Die Marquise von O.","Kleist","Heinrich","2017","ger","Faust I/Die Marquise von O.../Der Sandmann/Das Haus in der Dorotheenstraße - Expressionismus/Mehrsprachigkeit"
"3482","Faust I","Goethe","Johann Wolfgang","2017","ger","Faust I/Die Marquise von O.../Der Sandmann/Das Haus in der Dorotheenstraße - Expressionismus/Mehrsprachigkeit"
"3483","Der Sandmann","Hoffmann","E.T.A.","2017","ger","Faust I/Die Marquise von O.../Der Sandmann/Das Haus in der Dorotheenstraße - Expressionismus/Mehrsprachigkeit"
"3484","Die Marquise von O.","Kleist","Heinrich","2017","ger","Faust I/Die Marquise von O.../Der Sandmann/Das Haus in der Dorotheenstraße - Expressionismus/Mehrsprachigkeit"
"3485","Faust I","Goethe","Johann Wolfgang","2017","ger","Faust I/Die Marquise von O.../Der Sandmann/Das Haus in der Dorotheenstraße - Expressionismus/Mehrsprachigkeit"
"3486","Die Marquise von O.","Kleist","Heinrich","2017","ger","Faust I/Die Marquise von O.../Sommerhaus später - Expressionismus/Mehrsprachigkeit"
"3487","Faust I","Goethe","Johann Wolfgang","2017","ger","Faust I/Die Marquise von O.../Sommerhaus später - Expressionismus/Mehrsprachigkeit"
"3488","Die Marquise von O.","Kleist","Heinrich","2017","ger","Faust I/Die Marquise von O.../Sommerhaus später - Expressionismus/Mehrsprachigkeit"
"3489","Faust I","Goethe","Johann Wolfgang","2017","ger","Faust I/Die Marquise von O.../Sommerhaus später - Expressionismus/Mehrsprachigkeit"
"3490","Der Sandmann","Hoffmann","E.T.A.","2018","ger","Faust I/Lyrik: Unterwegs sein/Die Marquise von O.../Der Sandmann/Das Haus in der Dorotheenstraße - Sprache, Denken, Wirklichkeit"
"3491","Die Marquise von O.","Kleist","Heinrich","2018","ger","Faust I/Lyrik: Unterwegs sein/Die Marquise von O.../Der Sandmann/Das Haus in der Dorotheenstraße - Sprache, Denken, Wirklichkeit"
"3492","Faust I","Goethe","Johann Wolfgang","2018","ger","Faust I/Lyrik: Unterwegs sein/Die Marquise von O.../Der Sandmann/Das Haus in der Dorotheenstraße - Sprache, Denken, Wirklichkeit"
"3493","Die Marquise von O.","Kleist","Heinrich","2018","ger","Faust I/Lyrik: Unterwegs sein/Die Marquise von O.../Sommerhaus, später/Dialekte und Soziolekte"
"3494","Faust I","Goethe","Johann Wolfgang","2018","ger","Faust I/Lyrik: Unterwegs sein/Die Marquise von O.../Sommerhaus, später/Dialekte und Soziolekte"
"3495","Der goldne Topf","Hoffmann","E.T.A.","2003","hrv || ger","Faustofska biblioteka Dimitrija Savi?a"
"3496","Das Erdbeben in Chili","Kleist","Heinrich","1944","ger","Feldpostausgabe der kleinen Volk und Reich-Bücherei"
"3497","Das Schloss Dürande","Eichendorff","Joseph","[1945]","ger","Feldpostbücher"
"3498","Maria Magdalena","Hebbel","Friedrich","1994","hun || ger","Felfedezett klasszikusok"
"3499","Die Räuber","Schiller","Friedrich","[1927]","ger","Ferd. Schöninghs Textausgaben alter und neuer Schriftsteller : Mit Einleitung und kurzen Anmerkungen"
"3500","Nathan der Weise","Lessing","Gotthold Ephraim","[1925]","ger","Ferd. Schöninghs Textausgaben alter und neuer Schriftsteller"
"3501","Maria Stuart","Schiller","Friedrich","[1925]","ger","Ferd. Schöninghs Textausgaben alter und neuer Schriftsteller"
"3502","Peter Schlemihls wundersame Geschichte","Chamisso","Adelbert","[1927]","ger","Ferd. Schöninghs Textausgaben alter und neuer Schriftsteller"
"3503","Prinz Friedrich von Homburg","Kleist","Heinrich","[1932]","ger","Ferdinand Schöninghs Textausgaben"
"3504","Maria Stuart","Schiller","Friedrich","[1932]","ger","Ferdinand Schöninghs Textausgaben"
"3505","Die Jungfrau von Orleans","Schiller","Friedrich","[1930]","ger","Ferdinand Schöninghs Textausgaben alter und neuer Schriftsteller"
"3506","Prinz Friedrich von Homburg","Kleist","Heinrich","[1925]","ger","Ferdinand Schöninghs Textausgaben alter und neuer Schriftsteller"
"3507","Iphigenie auf Tauris","Goethe","Johann Wolfgang","[1925]","ger","Ferdinand Schöninghs Textausgaben alter und neuer Schriftsteller"
"3508","Emilia Galotti","Lessing","Gotthold Ephraim","[1925]","ger","Ferdinand Schöninghs Textausgaben alter und neuer Schriftsteller"
"3509","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","[1926]","ger","Ferdinand Schöninghs Textausgaben alter und neuer Schriftsteller"
"3510","Undine","de la Motte Fouqué","Friedrich","[1927]","ger","Ferdinand Schöninghs Textausgaben alter und neuer Schriftsteller"
"3511","Hiob","Roth","Joseph","DL 2018","fre || ger","Feuilles d'herbe., 2011-"
"3512","Der Untertan","Mann","Heinrich","1976","ger","Fiatalok könyvtára"
"3513","Verbrechen","Schirach","Ferdinand","2010","por || ger","Ficção universal"
"3514","Die Blechtrommel","Grass","Günter","2009","por || ger","Ficção universal"
"3515","Berlin Alexanderplatz","Döblin","Alfred","1992","por || ger","Ficção universal"
"3516","Tonio Kröger","Mann","Thomas","1992","por || ger","Ficção universal"
"3517","Bekenntnisse des Hochstaplers Felix Krull","Mann","Thomas","2003","por || ger","Ficções"
"3518","Tod in Venedig","Mann","Thomas","2004","por || ger","Ficções"
"3519","Tod in Venedig","Mann","Thomas","mayo de 2018","spa || ger","Ficción"
"3520","Tonio Kröger","Mann","Thomas","1955","ger","Fiction ; 33"
"3521","Mephisto","Mann","Klaus","[2018]","cze || ger","Filmová ?ada"
"3522","Im Westen Nichts Neues","Remarque","Erich Maria","2008","ger","Filmregények"
"3523","Nathan der Weise","Lessing","Gotthold Ephraim","1964","ger","Filosofía y letras"
"3524","Der Verschollene","Kafka","Franz","1994","ger","Fischer"
"3525","Tod in Venedig","Mann","Thomas","1995","ger","Fischer"
"3526","Das Muschelessen","Vanderbeke","Birgit","1997","ger","Fischer"
"3527","Tonio Kröger","Mann","Thomas","1987","|| ger","Fischer"
"3528","Tonio Kröger","Mann","Thomas","1988","|| ger","Fischer"
"3529","Tonio Kröger","Mann","Thomas","1988","|| ger","Fischer"
"3530","Tonio Kröger","Mann","Thomas","1989","|| ger","Fischer"
"3531","Tonio Kröger","Mann","Thomas","1990","|| ger","Fischer"
"3532","Tonio Kröger","Mann","Thomas","1991","|| ger","Fischer"
"3533","Tonio Kröger","Mann","Thomas","1984","ger","Fischer"
"3534","Tonio Kröger","Mann","Thomas","1985","ger","Fischer"
"3535","Tonio Kröger","Mann","Thomas","1985","ger","Fischer"
"3536","Tonio Kröger","Mann","Thomas","1986","|| ger","Fischer"
"3537","Tonio Kröger","Mann","Thomas","1987","|| ger","Fischer"
"3538","Tonio Kröger","Mann","Thomas","1990","ger","Fischer"
"3539","Das Muschelessen","Vanderbeke","Birgit","2000","ger","Fischer"
"3540","Sommerhaus, später","Hermann","Judith","2000","ger","Fischer"
"3541","Schachnovelle","Zweig","Stefan","1987","ger","Fischer"
"3542","Schachnovelle","Zweig","Stefan","1987","ger","Fischer"
"3543","Schachnovelle","Zweig","Stefan","1988","ger","Fischer"
"3544","Schachnovelle","Zweig","Stefan","1988","ger","Fischer"
