"source","target"
2015,"Die Berliner Antigone"
2016,"Die Berliner Antigone"
2006,"Die Blechtrommel"
2017,"Die Dreigroschenoper"
2018,"Die Dreigroschenoper"
2019,"Die Dreigroschenoper"
2025,"Die Furcht vor der Freiheit"
2026,"Die Furcht vor der Freiheit"
2016,"Die heilige Johanna der Schlachthöfe"
2017,"Die heilige Johanna der Schlachthöfe"
2018,"Die heilige Johanna der Schlachthöfe"
2019,"Die heilige Johanna der Schlachthöfe"
2021,"Die Horen"
2011,"Die Jahre der Liebe"
2017,"Die Judenbuche"
2018,"Die Judenbuche"
2013,"Die Jungfrau von Orleans"
2014,"Die Jungfrau von Orleans"
2015,"Die Jungfrau von Orleans"
2016,"Die Jungfrau von Orleans"
2017,"Die Jungfrau von Orleans"
2018,"Die Jungfrau von Orleans"
2008,"Die Kindermörderin"
2006,"Die Leiden des jungen Werthers"
2008,"Die Leiden des jungen Werthers"
2010,"Die Leiden des jungen Werthers"
2013,"Die Leiden des jungen Werthers"
2014,"Die Leiden des jungen Werthers"
2009,"Die letzten Tage der Menschheit"
2007,"Die Marquise von O."
2011,"Die Marquise von O."
2013,"Die Marquise von O."
2014,"Die Marquise von O."
2015,"Die Marquise von O."
2016,"Die Marquise von O."
2017,"Die Marquise von O."
2018,"Die Marquise von O."
2019,"Die Marquise von O."
2020,"Die Marquise von O."
2021,"Die Marquise von O."
2026,"Die Marquise von O."
2006,"Die Physiker"
2007,"Die Physiker"
2008,"Die Physiker"
2009,"Die Physiker"
2010,"Die Physiker"
2011,"Die Physiker"
2012,"Die Physiker"
2013,"Die Physiker"
2014,"Die Physiker"
2015,"Die Physiker"
2016,"Die Physiker"
2011,"Die Räuber"
2012,"Die Räuber"
2009,"Die Ratten"
2010,"Die Ratten"
2008,"Die Soldaten"
2010,"Die Soldaten"
2017,"Die unwürdige Greisin"
2018,"Die unwürdige Greisin"
2019,"Die unwürdige Greisin"
2017,"Die verlorene Ehre der Katharina Blum"
2018,"Die verlorene Ehre der Katharina Blum"
2006,"Die Verwandlung"
2007,"Die Verwandlung"
2008,"Die Verwandlung"
2009,"Die Verwandlung"
2010,"Die Verwandlung"
2011,"Die Verwandlung"
2012,"Die Verwandlung"
2014,"Die Verwandlung"
2015,"Die Verwandlung"
2016,"Die Verwandlung"
2017,"Die Verwandlung"
2018,"Die Verwandlung"
2019,"Die Verwandlung"
2020,"Die Verwandlung"
2021,"Die Verwandlung"
2006,"Don Karlos: Infant von Spanien"
2007,"Don Karlos: Infant von Spanien"
2008,"Don Karlos: Infant von Spanien"
2011,"Don Karlos: Infant von Spanien"
2012,"Don Karlos: Infant von Spanien"
2006,"Effi Briest"
2007,"Effi Briest"
2008,"Effi Briest"
2024,"Effi Briest"
2025,"Effi Briest"
2026,"Effi Briest"
2009,"Ein apokalyptisches Fragment"
2011,"Ein Volksfeind"
2006,"Ein Wort"
2007,"Ein Wort"
2010,"Einer"
2013,"Emigranten-Monolog"
2014,"Emigranten-Monolog"
2007,"Emilia Galotti"
2009,"Emilia Galotti"
2019,"Emilia Galotti"
2020,"Emilia Galotti"
2024,"Emilia Galotti"
2025,"Emilia Galotti"
2026,"Emilia Galotti"
2012,"Entdeckung an einer jungen Frau"
2014,"Erstes Leid"
2020,"Fabian. Die Geschichte eines Moralisten"
2010,"Faserland"
2011,"Faserland"
2013,"Faserland"
2006,"Faust I"
2007,"Faust I"
2008,"Faust I"
2009,"Faust I"
2010,"Faust I"
2011,"Faust I"
2012,"Faust I"
2013,"Faust I"
2014,"Faust I"
2015,"Faust I"
2016,"Faust I"
2017,"Faust I"
2018,"Faust I"
2019,"Faust I"
2020,"Faust I"
2021,"Faust I"
2022,"Faust I"
2023,"Faust I"
2024,"Faust I"
2025,"Faust I"
2026,"Faust I"
2015,"Faust II"
2009,"Früh im Wagen"
2009,"Franziska Linkerhand"
2014,"Frau Jenny Treibel"
2015,"Frau Jenny Treibel"
2016,"Frau Jenny Treibel"
2026,"Furor. Theater der Gegenwart"
2019,"Gehen, ging, gegangen"
2009,"Geschichten aus dem Wiener Wald. Volksstück in drei Teilen"
2010,"Geschichten aus dem Wiener Wald. Volksstück in drei Teilen"
2006,"Hälfte des Lebens"
2016,"Halbschatten"
2017,"Halbschatten"
2018,"Halbschatten"
2020,"Hamlet"
2021,"Hamlet"
2022,"Hamlet"
2009,"Hamlet"
2010,"Hamlet"
2011,"Hamlet"
2012,"Hamlet"
2013,"Hamlet"
2014,"Hamlet"
2015,"Hamlet"
2016,"Hamlet"
2017,"Hamlet"
2018,"Hamlet"
2019,"Hamlet"
2008,"Heeresbericht"
2009,"Heeresbericht"
2025,"Heimsuchung"
2026,"Heimsuchung"
2006,"Heldenplatz"
2023,"Herkunft"
2024,"Herkunft"
2025,"Herkunft"
2010,"Herr Lehmann"
2011,"Herr Lehmann"
2020,"Hikikomori"
2021,"Hikikomori"
2022,"Hikikomori"
2006,"Hiob"
2014,"Hiob"
2015,"Hiob"
2016,"Hiob"
2024,"Hiob"
2025,"Hiob"
2026,"Hiob"
2007,"Homo faber"
2008,"Homo faber"
2017,"Homo faber"
2018,"Homo faber"
2006,"Ich fürchte mich so vor der Menschen Wort"
2007,"Ich fürchte mich so vor der Menschen Wort"
2006,"Im Krebsgang"
2007,"Im Krebsgang"
2009,"Im Krebsgang"
2010,"Im Krebsgang"
2011,"Im Krebsgang"
2012,"Im Krebsgang"
2013,"Im Kreise gelausen"
2014,"Im Kreise gelausen"
2008,"Im Westen Nichts Neues"
2009,"Im Westen Nichts Neues"
2016,"Im Westen Nichts Neues"
2014,"In der Strafkolonie"
2015,"In der Strafkolonie"
2016,"In der Strafkolonie"
2017,"In der Strafkolonie"
2018,"In der Strafkolonie"
2019,"In der Strafkolonie"
2020,"In der Strafkolonie"
2021,"In der Strafkolonie"
2022,"In der Strafkolonie"
2023,"In der Strafkolonie"
2024,"In der Strafkolonie"
2025,"In der Strafkolonie"
2026,"In der Strafkolonie"
2011,"In seiner frühen Kindheit ein Garten"
2012,"In seiner frühen Kindheit ein Garten"
2013,"In seiner frühen Kindheit ein Garten"
2017,"In seiner frühen Kindheit ein Garten"
2018,"In seiner frühen Kindheit ein Garten"
2019,"In seiner frühen Kindheit ein Garten"
2020,"In seiner frühen Kindheit ein Garten"
2021,"In seiner frühen Kindheit ein Garten"
2022,"In seiner frühen Kindheit ein Garten"
2023,"In seiner frühen Kindheit ein Garten"
2024,"In seiner frühen Kindheit ein Garten"
2025,"In seiner frühen Kindheit ein Garten"
2026,"In seiner frühen Kindheit ein Garten"
2016,"In Stahlgewitter"
2017,"Ingrid Babendererde. Reifeprüfung 1953"
2006,"Iphigenie auf Tauris"
2007,"Iphigenie auf Tauris"
2011,"Iphigenie auf Tauris"
2012,"Iphigenie auf Tauris"
2013,"Iphigenie auf Tauris"
2014,"Iphigenie auf Tauris"
2015,"Iphigenie auf Tauris"
2021,"Iphigenie auf Tauris"
2022,"Iphigenie auf Tauris"
2009,"Irrungen, Wirrungen"
2010,"Irrungen, Wirrungen"
2011,"Irrungen, Wirrungen"
2012,"Irrungen, Wirrungen"
2013,"Irrungen, Wirrungen"
2018,"Irrungen, Wirrungen"
2021,"Italienische Reise"
2009,"Jakob der Lügner"
2010,"Jakob der Lügner"
2011,"Jakob der Lügner"
2012,"Jakob der Lügner"
2013,"Jakob der Lügner"
2014,"Jakob der Lügner"
2015,"Jakob der Lügner"
2016,"Jakob der Lügner"
2018,"Jakob der Lügner"
2019,"Jakob der Lügner"
2020,"Jakob der Lügner"
2015,"König Ödipus"
2016,"König Ödipus"
2007,"Kabale und Liebe"
2008,"Kabale und Liebe"
2013,"Kabale und Liebe"
2014,"Kabale und Liebe"
2015,"Kabale und Liebe"
2016,"Kabale und Liebe"
2023,"Kabale und Liebe"
2024,"Kabale und Liebe"
2025,"Kabale und Liebe"
2026,"Kabale und Liebe"
2007,"Kaspar Hauser Lied"
2006,"Katz und Maus"
2022,"Katz und Maus"
2015,"Klein Zaches genannt Zinnober"
2016,"Klein Zaches genannt Zinnober"
2014,"Kleiner Mann - was nun?"
2015,"Kleiner Mann - was nun?"
2016,"Kleiner Mann - was nun?"
2020,"Kleiner Mann - was nun?"
2017,"Landnahme"
2018,"Landnahme"
2019,"Landnahme"
2020,"Landnahme"
2021,"Landnahme"
2022,"Landnahme"
2023,"Landnahme"
2024,"Landnahme"
2025,"Landnahme"
2026,"Landnahme"
2009,"Lass rauschen, Lieb, lass rauschen"
2006,"Leben des Galilei"
2007,"Leben des Galilei"
2008,"Leben des Galilei"
2009,"Leben des Galilei"
2010,"Leben des Galilei"
2011,"Leben des Galilei"
2012,"Leben des Galilei"
2021,"Leben des Galilei"
2022,"Leben des Galilei"
2023,"Leben des Galilei"
2024,"Leben des Galilei"
2025,"Leben des Galilei"
2007,"Lenz"
2008,"Lenz"
2009,"Lenz"
2010,"Lenz"
2014,"Lenz"
2015,"Lenz"
2016,"Lenz"
2017,"Lenz"
2018,"Lenz"
2009,"Leonce und Lena"
2010,"Leonce und Lena"
2024,"Leonce und Lena"
2006,"Linguistik"
2011,"Lob des Lernens"
2011,"Lob des Zweifels"
2010,"Maifest"
2013,"Man frage nicht"
2014,"Man frage nicht"
2020,"Maria Magdalena"
2019,"Maria Magdalena"
2008,"Maria Stuart"
2009,"Maria Stuart"
2010,"Maria Stuart"
2011,"Maria Stuart"
2012,"Maria Stuart"
2013,"Maria Stuart"
2014,"Maria Stuart"
2015,"Maria Stuart"
2016,"Maria Stuart"
2017,"Maria Stuart"
2018,"Maria Stuart"
2019,"Maria Stuart"
2020,"Maria Stuart"
2021,"Maria Stuart"
2022,"Maria Stuart"
2023,"Maria Stuart"
2024,"Maria Stuart"
2025,"Maria Stuart"
2026,"Maria Stuart"
2006,"Mario und der Zauberer"
2013,"Mario und der Zauberer"
2014,"Mario und der Zauberer"
2015,"Mario und der Zauberer"
2021,"Mario und der Zauberer"
2022,"Mario und der Zauberer"
2023,"Mario und der Zauberer"
2024,"Mario und der Zauberer"
2025,"Mario und der Zauberer"
2026,"Mario und der Zauberer"
2014,"Masse-Mensch"
2015,"Masse-Mensch"
2016,"Masse-Mensch"
2006,"Mathilde Möhring"
2007,"Mathilde Möhring"
2017,"Medea"
2018,"Medea"
2019,"Medea"
2020,"Medea"
2021,"Medea"
2022,"Medea"
2023,"Medea"
2024,"Medea"
2025,"Medea"
2026,"Medea"
2007,"Medea. Stimmen"
2009,"Medea. Stimmen"
2010,"Medea. Stimmen"
2011,"Medea. Stimmen"
2012,"Medea. Stimmen"
2013,"Medea. Stimmen"
2014,"Medea. Stimmen"
2015,"Medea. Stimmen"
2017,"Medea. Stimmen"
2018,"Medea. Stimmen"
2019,"Medea. Stimmen"
2020,"Medea. Stimmen"
2021,"Medea. Stimmen"
2022,"Medea. Stimmen"
2023,"Medea. Stimmen"
2024,"Medea. Stimmen"
2025,"Medea. Stimmen"
2026,"Medea. Stimmen"
2014,"Mein blaues Klavier"
2021,"Meine Emancipation"
2022,"Meine Emancipation"
2023,"Meine Emancipation"
2006,"Mephisto"
2020,"Michael Kohlhaas"
2026,"Michael Kohlhaas"
2007,"Michael Kohlhaas"
2009,"Michael Kohlhaas"
2017,"Michael Kohlhaas"
2018,"Michael Kohlhaas"
2019,"Michael Kohlhaas"
2021,"Michael Kohlhaas"
2010,"Willkommen und Abschied"
2024,"Miss Sara Sampson"
2025,"Miss Sara Sampson"
2026,"Miss Sara Sampson"
2009,"Mondnacht"
2011,"Mutterliebe"
2026,"Nach Mitternacht"
2007,"Nachtcafé"
2023,"Nachts ist es leise in Teheran"
2024,"Nachts ist es leise in Teheran"
2025,"Nachts ist es leise in Teheran"
2015,"Nathan der Weise"
2016,"Nathan der Weise"
2019,"Nathan der Weise"
2021,"Nathan der Weise"
2022,"Nathan der Weise"
2023,"Nathan der Weise"
2009,"Penthesilea"
2015,"Peter Schlemihls wundersame Geschichte"
2016,"Peter Schlemihls wundersame Geschichte"
2017,"Peter Schlemihls wundersame Geschichte"
2009,"Prinz Friedrich von Homburg"
2013,"Prinz Friedrich von Homburg"
2014,"Prinz Friedrich von Homburg"
2015,"Prinz Friedrich von Homburg"
2016,"Prinz Friedrich von Homburg"
2017,"Prinz Friedrich von Homburg"
2018,"Prinz Friedrich von Homburg"
2008,"Professor Unrat"
2006,"Prometheus"
2013,"Räuberbande"
2014,"Räuberbande"
2012,"Römische Elegien"
2021,"Römische Elegien"
2007,"Schachnovelle"
2009,"Schachnovelle"
2007,"Schlechte Zeiten für Lyrik"
2013,"Schlechte Zeiten für Lyrik"
2014,"Schlechte Zeiten für Lyrik"
2008,"Seeschlacht"
2009,"Seeschlacht"
2019,"Sommerhaus, später"
2006,"Sprachgitter"
2023,"Tauben fliegen auf"
2024,"Tauben fliegen auf"
2025,"Tauben fliegen auf"
2009,"Tauben im Gras"
2013,"Tauben im Gras"
2014,"Tauben im Gras"
2015,"Tauben im Gras"
2022,"Terror"
2023,"Terror"
2006,"Tod in Venedig"
2009,"Tonio Kröger"
2010,"Tonio Kröger"
2011,"Tonio Kröger"
2012,"Tonio Kröger"
2006,"Top Dogs"
2021,"Transit"
2022,"Transit"
2012,"Under der linden"
2013,"Undine"
2014,"Undine"
2015,"Undine"
2016,"Undine"
2017,"Undine"
2018,"Undine"
2019,"Undine"
2020,"Undine"
2021,"Undine"
2022,"Undine"
2023,"Undine"
2024,"Undine"
2025,"Undine"
2026,"Undine"
2022,"Unter der Drachenwand"
2023,"Unter der Drachenwand"
2024,"Unter der Drachenwand"
2025,"Unter der Drachenwand"
2017,"Verbrechen"
2018,"Verbrechen"
2010,"Von deutscher Baukunst"
2014,"Von morgens bis mitternachts"
2015,"Von morgens bis mitternachts"
2016,"Von morgens bis mitternachts"
2020,"Vor dem Fest"
2019,"Vor dem Fest"
2009,"Vor Sonnenaufgang"
2009,"Wünschelrute"
2021,"Weh dem, der aus der Reihe tanzt"
2013,"Woyzeck"
2020,"Woyzeck"
2021,"Woyzeck"
2022,"Woyzeck"
2023,"Woyzeck"
2024,"Woyzeck"
2025,"Woyzeck"
2026,"Woyzeck"
2006,"Woyzeck"
2007,"Woyzeck"
2008,"Woyzeck"
2009,"Woyzeck"
2010,"Woyzeck"
2011,"Woyzeck"
2012,"Woyzeck"
2017,"Woyzeck"
2018,"Woyzeck"
2019,"Woyzeck"
2024,"Zehn"
2026,"Zehn"
2013,"Ziehende Landschaft"
2014,"Ziehende Landschaft"
